id,category,sub_category,scratch_text,reference_link,source_name
1,Education,Scholarship,"🎓 Did you know? The National Scholarship Portal (NSP) allows Indian students to apply for multiple central, state, and UGC scholarships in one place. Many scholarships support tuition fees, hostel expenses, and study costs for eligible students based on income, merit, or category.",https://scholarships.gov.in,National Scholarship Portal
2,Education,Scholarship,💰 Did you know? The Central Sector Scheme of Scholarships supports meritorious Class 12 students pursuing college education. Eligible students from lower-income families can receive annual financial support to reduce higher education costs and continue studies without financial pressure.,https://scholarships.gov.in,CSSS
3,Education,Fellowship,🔬 Did you know? The Prime Minister’s Research Fellowship (PMRF) supports talented students pursuing PhDs in science and technology at top institutions like IITs and IISc. Selected scholars receive monthly stipends and research funding to encourage advanced innovation in India.,https://pmrf.in,PMRF
4,Education,Fellowship,📚 Did you know? UGC Junior Research Fellowship (JRF) provides monthly financial assistance to students who qualify UGC-NET and pursue research. It helps postgraduate students focus on PhD-level academic work without worrying too much about financial challenges.,https://ugcnet.nta.ac.in,UGC JRF
5,Education,Entrance Exam,"🧠 Did you know? The Common University Entrance Test (CUET) helps students apply to many central universities through one entrance exam. Instead of multiple admission tests, students can use CUET scores for colleges like Delhi University and BHU.",https://cuet.nta.nic.in,CUET
6,Education,Entrance Exam,🏫 Did you know? GATE is not only for M.Tech admissions — many PSUs also recruit engineers through GATE scores. Companies and government organizations use performance in the exam for technical hiring opportunities across India.,https://gate2026.iitg.ac.in,GATE
7,Education,Internship,"💼 Did you know? The AICTE Internship Portal helps engineering and technical students discover internships with startups, industries, and government projects. Students can gain real work experience and practical skills while improving placement opportunities.",https://internship.aicte-india.org,AICTE Internship Portal
8,Education,Scheme,"🚀 Did you know? SWAYAM offers free online courses from top Indian institutions like IITs, IIMs, and central universities. Students can learn technical, business, and academic subjects online and even earn certificates in some courses.",https://swayam.gov.in,SWAYAM
9,Education,Fellowship,"🌍 Did you know? The Fulbright-Nehru Fellowship supports Indian students and researchers who want to study, teach, or conduct research in the United States. It helps build academic exposure and international career opportunities.",https://www.usief.org.in,Fulbright-Nehru Fellowship
10,Education,Entrance Exam,📖 Did you know? Qualifying UGC-NET can help students become Assistant Professors in colleges and universities. High scorers may also receive Junior Research Fellowship benefits to support research and higher studies in India.,https://ugcnet.nta.ac.in,UGC NET
11,Education,Scholarship,"🎓 Did you know? The AICTE Pragati Scholarship supports girls pursuing technical education in diploma and degree programs. Eligible students can receive financial assistance to continue engineering and technical studies, helping more women build careers in STEM and innovation.",https://www.aicte-india.org,AICTE Pragati
12,Education,Scholarship,"🧑‍🎓 Did you know? The Saksham Scholarship supports specially-abled students pursuing technical education in India. Financial support helps students continue higher education while improving access to engineering, diploma, and professional learning opportunities.",https://www.aicte-india.org,AICTE Saksham
13,Education,Internship,💼 Did you know? The Government of India’s TULIP Internship Program offers urban learning internships for graduates and students. Participants gain hands-on experience by working with city departments and smart city projects across India.,https://tulip.gov.in,TULIP
14,Education,Scheme,"📚 Did you know? NPTEL provides free online engineering, science, and management courses created by IITs and IISc. Students can improve technical skills, prepare for placements, or earn certifications to strengthen resumes and job readiness.",https://nptel.ac.in,NPTEL
15,Education,Entrance Exam,🚀 Did you know? CAT is not only for MBA admissions in IIMs — many top private business schools also accept CAT scores for postgraduate management programs and scholarships across India.,https://iimcat.ac.in,CAT
16,Education,Entrance Exam,"🧠 Did you know? GATE-qualified students may receive stipends while pursuing M.Tech programs in approved institutions. The exam also opens doors for PSU jobs, research opportunities, and higher technical studies.",https://gate2026.iitg.ac.in,GATE
17,Education,Fellowship,🌍 Did you know? INSPIRE Scholarship supports talented science students pursuing higher education. The scheme encourages careers in research and innovation by offering financial support to eligible students in science fields.,https://online-inspire.gov.in,INSPIRE
18,Education,Scholarship,"💰 Did you know? Many state governments provide post-matric scholarships to students from SC, ST, OBC, and minority communities to support tuition fees, books, and hostel expenses during college education.",https://scholarships.gov.in,NSP
19,Education,Scheme,"🎯 Did you know? The Academic Bank of Credits (ABC) allows university students to digitally store academic credits and transfer them between institutions, making education more flexible under NEP 2020.",https://abc.gov.in,Academic Bank of Credits
20,Education,Internship,"🏢 Did you know? Internshala and government internship portals help college students find internships in marketing, tech, content writing, business, and research to gain practical experience before placements.",https://internship.aicte-india.org,Internship Portal
21,Health,BP,"❤️ Did you know? High blood pressure often shows no symptoms but silently affects the heart, brain, and kidneys. Regular BP checks after age 30 can help detect risks early and improve long-term health.",https://www.who.int,WHO
22,Health,Fitness,"🏋️ Did you know? Muscle building mostly depends on proper sleep, protein intake, and consistent exercise — not expensive supplements. Recovery matters as much as gym effort for healthy gains.",https://www.healthline.com,Healthline
23,Health,Sugar,"🍬 Did you know? Diabetes risk is increasing among young Indians due to stress, inactivity, and unhealthy eating habits. Regular walking and balanced meals can reduce long-term risk significantly.",https://www.who.int,WHO
24,Health,Sleep,"😴 Did you know? Sleeping less than 6 hours regularly may affect focus, mood, metabolism, and productivity. Good sleep helps memory, energy, and overall health for students and working adults.",https://www.cdc.gov,CDC
25,Health,Diet,"🥗 Did you know? Eating protein-rich foods like eggs, dal, paneer, curd, and sprouts may help improve muscle recovery and reduce hunger throughout the day.",https://www.nin.res.in,National Institute of Nutrition
26,Health,Posture,"💻 Did you know? Sitting for long hours without movement can lead to neck pain, back pain, and poor posture. Stretching every hour may reduce stiffness and improve focus.",https://www.who.int,WHO
27,Health,Supplements,💊 Did you know? Not everyone needs protein powders or supplements. A balanced Indian diet often provides enough nutrition unless advised by a doctor or nutrition expert.,https://www.nin.res.in,NIN
28,Health,Fitness,"🚶 Did you know? Walking for just 30 minutes daily may improve heart health, blood circulation, stress levels, and weight management without requiring a gym membership.",https://www.who.int,WHO
29,Health,Sugar,"🧠 Did you know? Excess sugary drinks may increase risks of obesity, diabetes, and low energy crashes. Drinking more water may improve concentration and energy.",https://www.who.int,WHO
30,Health,Mental Health,"🌿 Did you know? Stress affects sleep, digestion, energy, and focus. Simple habits like walking, exercise, meditation, or talking to friends can improve emotional health.",https://www.who.int,WHO
31,Health,Diet,"🍎 Did you know? Eating fruits and vegetables daily may help improve digestion, immunity, and heart health. Fiber-rich foods can also reduce overeating and improve energy levels throughout the day.",https://www.who.int,WHO
32,Health,Fitness,"🏃 Did you know? Regular exercise may reduce stress, improve sleep quality, and boost mental focus. Even 20–30 minutes of daily movement can support long-term health benefits.",https://www.cdc.gov,CDC
33,Health,Heart Health,❤️ Did you know? Excess salt intake may increase blood pressure risk. Reducing packaged foods and salty snacks can help maintain healthier BP levels over time.,https://www.who.int,WHO
34,Health,Hydration,"💧 Did you know? Mild dehydration may cause headaches, low concentration, and fatigue. Drinking enough water daily helps support focus, digestion, and physical performance.",https://www.nin.res.in,NIN
35,Health,Eye Care,👀 Did you know? Continuous screen exposure may strain your eyes. Following the 20-20-20 rule can help reduce digital eye fatigue for students and professionals.,https://www.aao.org,AAO
36,Health,Fitness,🏋️ Did you know? Consistency matters more than extreme workouts. Small daily exercise habits are often more sustainable and beneficial than occasional intense sessions.,https://www.who.int,WHO
37,Health,Mental Health,"🧘 Did you know? Meditation and breathing exercises may help reduce stress hormones and improve emotional balance, especially during exams or high-pressure work situations.",https://www.who.int,WHO
38,Health,Sugar,"🍭 Did you know? Hidden sugars are commonly found in soft drinks, packaged juices, sauces, and snacks. Reading nutrition labels can help reduce excess sugar intake.",https://www.who.int,WHO
39,Health,Sleep,"🌙 Did you know? Poor sleep habits may affect immunity, mood, memory, and metabolism. Maintaining a regular sleep schedule can improve productivity and overall wellness.",https://www.sleepfoundation.org,Sleep Foundation
40,Health,Fitness,"🚴 Did you know? Cycling and brisk walking are simple low-cost exercises that support heart health, stamina, and calorie burning without expensive equipment.",https://www.who.int,WHO
41,Tech & AI,AI Tools,"🤖 Did you know? AI tools like ChatGPT can help students summarize notes, improve writing, brainstorm ideas, and understand difficult topics more quickly.",https://openai.com/chatgpt,OpenAI
42,Tech & AI,Cybersecurity,🔐 Did you know? Never share OTPs or banking details on calls or messages. Many online scams use fake customer support tactics to steal money and data.,https://cybercrime.gov.in,Cyber Crime Portal
43,Tech & AI,AI Productivity,"⚡ Did you know? AI-powered tools can help automate repetitive tasks like email drafting, scheduling, coding assistance, and resume improvements for students and professionals.",https://openai.com,OpenAI
44,Tech & AI,Scam Awareness,🚨 Did you know? Fake job offers asking for registration fees are common scams. Genuine employers usually do not ask candidates to pay for interviews or hiring.,https://cybercrime.gov.in,Cyber Crime Portal
45,Tech & AI,AI Education,"📚 Did you know? Many students now use AI tools to prepare for interviews, coding tests, presentations, and aptitude exams more efficiently.",https://www.coursera.org,Coursera
46,Tech & AI,Cybersecurity,🔑 Did you know? Using the same password across multiple websites increases hacking risk. Password managers and two-factor authentication improve account security.,https://www.cisa.gov,CISA
47,Tech & AI,AI Careers,"💼 Did you know? AI and data-related skills are among the fastest-growing job opportunities across technology, healthcare, finance, and business industries worldwide.",https://www.weforum.org,World Economic Forum
48,Tech & AI,Scam Awareness,📱 Did you know? QR code scams can redirect users to fake payment pages. Always verify payment requests before scanning unknown QR codes.,https://cybercrime.gov.in,Cyber Crime Portal
49,Tech & AI,AI Tools,"🎨 Did you know? AI image-generation tools help creators design posters, thumbnails, presentations, and marketing content in minutes instead of hours.",https://openai.com,OpenAI
50,Tech & AI,Productivity,"⌨️ Did you know? Learning keyboard shortcuts and productivity tools may save hours every week for students, developers, designers, and office professionals.",https://support.microsoft.com,Microsoft
51,Tech & AI,AI Ethics,⚖️ Did you know? AI-generated information can sometimes be incorrect. Cross-checking facts from trusted sources is important before using AI outputs professionally.,https://openai.com/safety,OpenAI
52,Tech & AI,Scam Awareness,🛡️ Did you know? Fraudsters often create fake investment apps and Telegram groups promising quick profits. Always verify platforms before investing money online.,https://www.rbi.org.in,RBI
53,Tech & AI,AI Careers,"🚀 Did you know? Skills like prompt engineering, automation, data analysis, and AI-assisted workflows are becoming valuable in modern workplaces.",https://www.ibm.com,IBM
54,Tech & AI,Cybersecurity,🌐 Did you know? Public Wi-Fi networks may expose your personal data. Avoid logging into banking or sensitive accounts on unsecured networks.,https://www.cisa.gov,CISA
55,Tech & AI,AI Tools,"📊 Did you know? AI tools can help students create summaries, flashcards, charts, and study plans from long notes and PDFs.",https://www.notion.so,Notion AI
56,Tech & AI,Scam Awareness,📧 Did you know? Phishing emails often use urgent language and fake links to steal passwords. Always verify sender addresses carefully.,https://cybercrime.gov.in,Cyber Crime Portal
57,Tech & AI,Career Skills,"💻 Did you know? Basic coding, spreadsheet, and AI literacy skills are becoming useful even in non-technical careers like marketing and finance.",https://www.linkedin.com,LinkedIn
58,Tech & AI,AI Use Case,"🎙️ Did you know? AI voice tools now help creators generate subtitles, transcriptions, dubbing, and audio summaries faster than traditional editing methods.",https://openai.com,OpenAI
59,Tech & AI,Cybersecurity,🔒 Did you know? Updating apps and devices regularly helps patch security vulnerabilities and protects against malware and hacking attempts.,https://www.cisa.gov,CISA
60,Tech & AI,AI Learning,"🧠 Did you know? Many free AI and coding courses are available online from platforms like Coursera, Google, and Microsoft Learn.",https://www.coursera.org,Coursera
61,Opportunities & Jobs,Fellowship,"🏛️ Did you know? The LAMP Fellowship gives graduates a chance to work with Members of Parliament for 11 months and offers a monthly stipend of around ₹25,000–₹30,000 while learning policy-making and governance.",https://prsindia.org/lamp,LAMP Fellowship
62,Opportunities & Jobs,Fellowship,"🌍 Did you know? The SBI Youth for India Fellowship provides young graduates an opportunity to work on rural development projects with a monthly stipend, travel allowance, and project funding support.",https://www.youthforindia.org,SBI Youth for India
63,Opportunities & Jobs,Fellowship,"📚 Did you know? The Prime Minister’s Research Fellowship (PMRF) offers PhD scholars monthly stipends starting around ₹70,000, along with annual research grants at top institutes like IITs and IISc.",https://pmrf.in,PMRF
64,Opportunities & Jobs,Internship,"💼 Did you know? Google internships for software engineering roles may offer stipends exceeding ₹80,000–₹1 lakh per month for selected students in India.",https://careers.google.com,Google Careers
65,Opportunities & Jobs,Internship,"🚀 Did you know? Microsoft internship programs for engineering students often provide monthly stipends, mentorship, and pre-placement opportunities in technical roles.",https://careers.microsoft.com,Microsoft Careers
66,Opportunities & Jobs,Government Program,"🏢 Did you know? The TULIP Internship Program connects graduates with Smart City projects and urban local bodies, offering practical experience and government exposure.",https://tulip.gov.in,TULIP
67,Opportunities & Jobs,Fellowship,🌱 Did you know? Gandhi Fellowship supports youth working in the education sector and leadership programs while offering a monthly stipend and field experience.,https://gandhifellowship.org,Gandhi Fellowship
68,Opportunities & Jobs,Apprenticeship,"🏭 Did you know? The National Apprenticeship Training Scheme (NATS) helps graduates gain industry experience with monthly stipends that may range between ₹8,000–₹15,000 depending on the organization.",https://nats.education.gov.in,NATS
69,Opportunities & Jobs,Government Jobs,"🚆 Did you know? RRB NTPC recruitment attracts millions of applicants every year for railway jobs offering salaries that may start around ₹25,000–₹35,000 per month.",https://indianrailways.gov.in,Indian Railways
70,Opportunities & Jobs,Government Jobs,"🏦 Did you know? SBI Probationary Officers receive starting salaries that may exceed ₹65,000 per month including allowances and benefits.",https://sbi.co.in,SBI Careers
71,Opportunities & Jobs,Fellowship,"🌐 Did you know? The Young India Fellowship by Ashoka University provides interdisciplinary learning, mentorship, and career exposure through a one-year postgraduate program.",https://www.ashoka.edu.in,Ashoka University
72,Opportunities & Jobs,Internship,"💻 Did you know? AICTE internship portals help students discover paid internships in engineering, management, and startups across India.",https://internship.aicte-india.org,AICTE Internship Portal
73,Opportunities & Jobs,Government Jobs,"🛡️ Did you know? SSC CGL officers may receive salaries ranging from ₹35,000 to ₹70,000 depending on department, city, and allowances.",https://ssc.gov.in,SSC
74,Opportunities & Jobs,Fellowship,"🔬 Did you know? CSIR Junior Research Fellowship supports science researchers with monthly stipends that may exceed ₹37,000 during PhD studies.",https://www.csirhrdg.res.in,CSIR
75,Opportunities & Jobs,Placement,"📈 Did you know? Top IIT placements sometimes cross ₹1 crore international packages, while domestic offers may exceed ₹40–₹50 lakh annually for selected roles.",https://www.iitb.ac.in,IIT Bombay
76,Opportunities & Jobs,Internship,"📊 Did you know? Data analytics internships are among the fastest-growing opportunities for students with Excel, SQL, Python, and Power BI skills.",https://www.linkedin.com,LinkedIn
77,Opportunities & Jobs,Career Skills,"🤖 Did you know? AI, cybersecurity, cloud computing, and data science are among the highest-demand skills in India’s technology hiring market.",https://www.weforum.org,World Economic Forum
78,Opportunities & Jobs,Government Program,🏗️ Did you know? Apprenticeship India programs help students earn while learning through industry training and government-supported skill development.,https://www.apprenticeshipindia.gov.in,Apprenticeship India
79,Opportunities & Jobs,Fellowship,"🌟 Did you know? Acumen Fellowship programs focus on leadership, social impact, and entrepreneurship while connecting fellows with global networks and mentors.",https://acumen.org,Acumen
80,Opportunities & Jobs,Startup Careers,🚀 Did you know? Many Indian startups now offer remote internships and fresher roles with salaries ranging from ₹3–₹10 LPA depending on skills and projects.,https://www.startupindia.gov.in,Startup India
81,Cricket & Sports,Cricket Record,🏏 Did you know? Sachin Tendulkar scored 100 international centuries — a record unmatched in cricket history.,https://www.icc-cricket.com,ICC
82,Cricket & Sports,Cricket Record,"⚡ Did you know? Virat Kohli became one of the fastest players to cross 13,000 ODI runs in international cricket.",https://www.icc-cricket.com,ICC
83,Cricket & Sports,IPL Record,🔥 Did you know? Chris Gayle scored the highest individual IPL score with 175* runs in a single innings.,https://www.iplt20.com,IPL
84,Cricket & Sports,Bowling Record,🎯 Did you know? Muttiah Muralitharan holds the record for most Test wickets with 800 dismissals.,https://www.icc-cricket.com,ICC
85,Cricket & Sports,World Cup,"🏆 Did you know? India won the ICC Cricket World Cup in 1983, 2011, and the T20 World Cup in 2007 under different captains.",https://www.icc-cricket.com,ICC
86,Cricket & Sports,IPL Fact,"💰 Did you know? IPL media rights deals crossed billions of dollars, making it one of the richest sports leagues globally.",https://www.iplt20.com,IPL
87,Cricket & Sports,Cricket Record,🧤 Did you know? MS Dhoni completed some of the fastest stumpings in international cricket history.,https://www.icc-cricket.com,ICC
88,Cricket & Sports,Cricket Record,🚀 Did you know? AB de Villiers scored the fastest ODI century in just 31 balls.,https://www.icc-cricket.com,ICC
89,Cricket & Sports,Cricket Record,🌟 Did you know? Rohit Sharma holds the highest individual ODI score with 264 runs in a single match.,https://www.icc-cricket.com,ICC
90,Cricket & Sports,Olympics,🥇 Did you know? Neeraj Chopra became India’s first Olympic gold medalist in athletics during Tokyo Olympics 2021.,https://olympics.com,Olympics
91,Cricket & Sports,Cricket Debut,🌍 Did you know? Sachin Tendulkar made his international debut for India at just 16 years of age.,https://www.icc-cricket.com,ICC
92,Cricket & Sports,Retirement,👏 Did you know? MS Dhoni announced his international retirement through a simple Instagram video in 2020.,https://www.icc-cricket.com,ICC
93,Cricket & Sports,IPL Record,🎉 Did you know? Mumbai Indians and Chennai Super Kings are among the most successful IPL franchises with multiple titles.,https://www.iplt20.com,IPL
94,Cricket & Sports,Cricket Record,🏏 Did you know? Brian Lara scored the highest individual Test score of 400* runs in a single innings.,https://www.icc-cricket.com,ICC
95,Cricket & Sports,Sports Fact,"⚽ Did you know? Football remains the world’s most-watched sport, while cricket has massive fan bases in India, Australia, and England.",https://www.fifa.com,FIFA
96,Cricket & Sports,Olympics,🥈 Did you know? India achieved its best-ever Olympic medal tally at the Tokyo Olympics with 7 medals across multiple sports.,https://olympics.com,Olympics
97,Cricket & Sports,Cricket Record,🎯 Did you know? Lasith Malinga became famous for taking four wickets in four consecutive balls in ODIs.,https://www.icc-cricket.com,ICC
98,Cricket & Sports,IPL Fact,📺 Did you know? IPL matches are watched by hundreds of millions of viewers worldwide every season across TV and digital platforms.,https://www.iplt20.com,IPL
99,Cricket & Sports,Athlete Fact,🥊 Did you know? Mary Kom won multiple world championships and became one of India’s greatest boxing icons.,https://olympics.com,Olympics
100,Cricket & Sports,Cricket Record,🏆 Did you know? Australia has won the ICC Cricket World Cup more times than any other country in cricket history.,https://www.icc-cricket.com,ICC